id,product_id,product_code,product_name,nav_date,initial_nav,accumulated_nav,current_nav,is_updated,last_update_date,crawl_time,created_at,updated_at
17,1000043722,Z7002225000111,幸福99金钱包46号理财,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.640306,2025-05-16 18:10:05.640309
72,1000044126,Z7002225000114,幸福99添益固收(稳盈存款存单策略)7天持有期理财,2025-05-16,1.0,1.00362,1.00362,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.683924,2025-05-16 18:10:05.683926
141,1000033729,Z7002425000038,徽银理财徽安现金管理类理财产品39号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.737196,2025-05-16 18:10:05.737198
136,1000040471,Z7002425000085,徽银理财徽安现金管理类理财产品42号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.733205,2025-05-16 18:10:05.733207
135,1000040474,Z7002425000087,徽银理财徽安现金管理类理财产品41号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.732508,2025-05-16 18:10:05.732510
122,1000041513,Z7002425000105,徽银理财徽安现金管理类理财产品43号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.722771,2025-05-16 18:10:05.722774
121,1000041514,Z7002425000106,徽银理财徽安现金管理类理财产品47号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.721935,2025-05-16 18:10:05.721939
120,1000041526,Z7002425000109,徽银理财徽安现金管理类理财产品46号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.721148,2025-05-16 18:10:05.721151
119,1000041533,Z7002425000111,徽银理财徽安现金管理类理财产品48号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.720431,2025-05-16 18:10:05.720433
75,1000045788,Z7002425000134,徽银理财徽安现金管理类理财产品50号,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.685995,2025-05-16 18:10:05.685997
85,2312742,Z7002624000571,信银理财日盈象天天利193号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.693688,2025-05-16 18:10:05.693690
48,2312753,Z7002624000582,信银理财日盈象天天利204号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.665867,2025-05-16 18:10:05.665870
36,2312755,Z7002624000584,信银理财日盈象天天利206号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.656177,2025-05-16 18:10:05.656180
22,2312756,Z7002624000585,信银理财日盈象天天利207号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.644241,2025-05-16 18:10:05.644244
80,2312760,Z7002624000589,信银理财日盈象天天利211号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.689731,2025-05-16 18:10:05.689734
20,2312761,Z7002624000590,信银理财日盈象天天利212号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.642713,2025-05-16 18:10:05.642715
108,2313248,Z7002624000602,信银理财日盈象天天利216号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.712319,2025-05-16 18:10:05.712321
118,1000018730,Z7003324000976,平安理财天天成长3号82期现金管理类理财产品,2025-05-16,1.0,1.00251,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.719732,2025-05-16 18:10:05.719734
117,1000018731,Z7003324000977,平安理财天天成长3号83期现金管理类理财产品,2025-05-16,1.0,1.00163,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.719038,2025-05-16 18:10:05.719041
115,1000018735,Z7003324000980,平安理财天天成长3号86期现金管理类理财产品,2025-05-16,1.0,1.00175,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.717652,2025-05-16 18:10:05.717654
114,1000018736,Z7003324000981,平安理财天天成长3号87期现金管理类理财产品,2025-05-16,1.0,1.00175,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.716956,2025-05-16 18:10:05.716958
